exercise_progression_metric_map_id,exercise_id,metric,priority_rank,use_case,confidence_rating
epm_00001,ex_barbell_bench_press,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00002,ex_barbell_bench_press,load,2,supporting_context_or_tie_breaker,low
epm_00003,ex_barbell_bench_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00004,ex_barbell_bench_press,rir,4,supporting_context_or_tie_breaker,low
epm_00005,ex_barbell_bench_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00006,ex_barbell_bench_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00007,ex_cambered_barbell_bench_press,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00008,ex_cambered_barbell_bench_press,load,2,supporting_context_or_tie_breaker,low
epm_00009,ex_cambered_barbell_bench_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00010,ex_cambered_barbell_bench_press,rir,4,supporting_context_or_tie_breaker,low
epm_00011,ex_cambered_barbell_bench_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00012,ex_cambered_barbell_bench_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00013,ex_dumbbell_bench_press,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00014,ex_dumbbell_bench_press,load,2,supporting_context_or_tie_breaker,low
epm_00015,ex_dumbbell_bench_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00016,ex_dumbbell_bench_press,rir,4,supporting_context_or_tie_breaker,low
epm_00017,ex_dumbbell_bench_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00018,ex_dumbbell_bench_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00019,ex_incline_dumbbell_press,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00020,ex_incline_dumbbell_press,load,2,supporting_context_or_tie_breaker,low
epm_00021,ex_incline_dumbbell_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00022,ex_incline_dumbbell_press,rir,4,supporting_context_or_tie_breaker,low
epm_00023,ex_incline_dumbbell_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00024,ex_incline_dumbbell_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00025,ex_machine_chest_press,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00026,ex_machine_chest_press,load,2,supporting_context_or_tie_breaker,low
epm_00027,ex_machine_chest_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00028,ex_machine_chest_press,rir,4,supporting_context_or_tie_breaker,low
epm_00029,ex_machine_chest_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00030,ex_machine_chest_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00031,ex_incline_machine_press,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00032,ex_incline_machine_press,load,2,supporting_context_or_tie_breaker,low
epm_00033,ex_incline_machine_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00034,ex_incline_machine_press,rir,4,supporting_context_or_tie_breaker,low
epm_00035,ex_incline_machine_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00036,ex_incline_machine_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00037,ex_cable_fly,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00038,ex_cable_fly,load,2,supporting_context_or_tie_breaker,low
epm_00039,ex_cable_fly,repetitions,3,supporting_context_or_tie_breaker,low
epm_00040,ex_cable_fly,rir,4,supporting_context_or_tie_breaker,low
epm_00041,ex_cable_fly,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00042,ex_cable_fly,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00043,ex_low_to_high_cable_fly,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00044,ex_low_to_high_cable_fly,load,2,supporting_context_or_tie_breaker,low
epm_00045,ex_low_to_high_cable_fly,repetitions,3,supporting_context_or_tie_breaker,low
epm_00046,ex_low_to_high_cable_fly,rir,4,supporting_context_or_tie_breaker,low
epm_00047,ex_low_to_high_cable_fly,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00048,ex_low_to_high_cable_fly,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00049,ex_overhead_press,estimated_1rm_with_technique_gate,1,primary_progression_decision,moderate
epm_00050,ex_overhead_press,load,2,supporting_context_or_tie_breaker,low
epm_00051,ex_overhead_press,repetitions,3,supporting_context_or_tie_breaker,low
epm_00052,ex_overhead_press,rir,4,supporting_context_or_tie_breaker,low
epm_00053,ex_overhead_press,range_of_motion,5,supporting_context_or_tie_breaker,low
epm_00054,ex_overhead_press,technique_quality,6,supporting_context_or_tie_breaker,low
epm_00055,ex_machine_shoulder_press,repetitions_at_load_and_rir,1,primary_progression_decision,moderate
epm_00056,ex_machine_shoulder_press,load,2,supporting_context_or_tie_breaker,low
