recorded_name,exercise_id,canonical_name,variation,primary_muscle_group,resistance_type,exercise_kind,progression_metric,research_exercise_id,comparison_group,equipment_identity_status,notes
Ab Wheel,ab_wheel,Ab Wheel,kneeling_or_unspecified,abdominals,bodyweight,bodyweight,repetitions,ex_ab_wheel,ab_wheel,not_recorded,External load is not meaningful.
Bench Press (Barbell),barbell_bench_press,Barbell Bench Press,flat_barbell,chest,external,compound,rpe_adjusted_e1rm,ex_barbell_bench_press,barbell_bench_press,stable_name_only,Loads assumed lb from Strong context.
Bicep Curl (Cable),cable_biceps_curl,Cable Biceps Curl,standard,biceps,external,isolation,rpe_adjusted_e1rm,ex_cable_curl,cable_curl,machine_unconfirmed,Do not compare to light variation automatically.
Bicep Curls Light (Cable),cable_biceps_curl_light,Cable Biceps Curl,light,biceps,external,isolation,rpe_adjusted_e1rm,ex_cable_curl,cable_curl,machine_unconfirmed,Retained as a distinct intensity variation.
Calf Press on Seated Leg Press,seated_leg_press_calf_press,Calf Press on Seated Leg Press,leg_press_attachment,calves,external,isolation,rpe_adjusted_e1rm,ex_leg_press_calf_raise,calf_press,machine_unconfirmed,Machine-specific loading.
Cable Crossover,cable_crossover,Cable Crossover,angle_unspecified,chest,external,isolation,rpe_adjusted_e1rm,,cable_fly,angle_unconfirmed,Do not merge with high-to-low or low-to-high fly until angle is known.
Chest Assisted Row,chest_assisted_row,Chest-Assisted Row,path_and_grip_unspecified,upper_back,external,compound,rpe_adjusted_e1rm,,chest_supported_row,machine_unconfirmed,Recorded name does not confirm equipment path or grip.
Incline Bench Press (Dumbbell),incline_dumbbell_press,Incline Dumbbell Press,incline_angle_unspecified,chest,external,compound,rpe_adjusted_e1rm,ex_incline_dumbbell_press,incline_dumbbell_press,stable_name_only,Strong load is treated as logged per dumbbell but this is not explicit in the file.
Incline Curl (Dumbbell),incline_dumbbell_curl,Incline Dumbbell Curl,incline,biceps,external,isolation,rpe_adjusted_e1rm,ex_incline_dumbbell_curl,incline_dumbbell_curl,stable_name_only,Load convention is not explicit.
Lat Pulldown Double Pulley,double_pulley_lat_pulldown,Double-Pulley Lat Pulldown,double_pulley,lats,external,compound,rpe_adjusted_e1rm,ex_lat_pulldown,lat_pulldown,machine_unconfirmed,Keep separate from other pulldown machines.
