exercise_substitution_map_id,exercise_id,substitute_exercise_id,substitution_similarity,reason,confidence_rating
esm_0001,ex_barbell_bench_press,ex_cambered_barbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0002,ex_barbell_bench_press,ex_dumbbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0003,ex_barbell_bench_press,ex_machine_chest_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0004,ex_cambered_barbell_bench_press,ex_barbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0005,ex_cambered_barbell_bench_press,ex_dumbbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0006,ex_cambered_barbell_bench_press,ex_machine_chest_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0007,ex_dumbbell_bench_press,ex_barbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0008,ex_dumbbell_bench_press,ex_cambered_barbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0009,ex_dumbbell_bench_press,ex_machine_chest_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0010,ex_incline_dumbbell_press,ex_incline_machine_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0011,ex_incline_dumbbell_press,ex_low_to_high_cable_fly,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0012,ex_machine_chest_press,ex_barbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
esm_0013,ex_machine_chest_press,ex_cambered_barbell_bench_press,same_pattern_and_primary_muscle,"Alternative with different equipment, stability, or joint-loading profile",moderate
