evidence_gap_id,topic,research_question,male_population,current_best_interpretation,reason_for_uncertainty,conflicting_positions,supporting_study_ids,conflicting_study_ids,practical_default,risk_of_wrong_application,research_priority,last_reviewed_date
gap_0001,muscle_specific_volume,"What are true minimum effective, optimal, and maximum recoverable volumes for each male muscle?",trained natural adult males,"General dose-response evidence supports starting ranges, not exact muscle thresholds.","Few trials isolate one muscle, equate effort, count indirect work consistently, or sample advanced males.",Fixed per-muscle landmarks versus response-guided ranges,stu_0001|stu_0002|stu_0025,,Start 6-10 fractional hard sets and adjust from repeated performance/recovery data.,False precision can cause needless volume escalation or undertraining.,very_high,2026-07-11
gap_0002,fractional_sets,What credit should indirect sets receive?,trained natural adult males,"A 0.5 credit is a query-friendly default, not a validated constant.","Contribution varies by technique, joint moment, ROM, individual anatomy, and proximity to failure.","0, 0.5, or 1.0 counting conventions",stu_0001,,"Use 1.0 primary, 0.5 clearly loaded secondary, and 0 when contribution is trivial; permit overrides.",Miscounting distorts volume targets.,high,2026-07-11
gap_0003,proximity_to_failure,What exact RIR maximizes hypertrophy at each load and exercise?,trained natural adult males,Closer is generally more important with lighter loads; momentary failure is not required.,Actual RIR is rarely measured accurately and protocols differ.,0-1 RIR universal versus exercise/load-dependent 0-4 RIR,stu_0005|stu_0006|stu_0030,,Use 1-4 RIR for high-skill compounds and 0-3 for stable isolations; move closer with light loads.,Routine failure may add fatigue; staying too far may underdose light work.,high,2026-07-11
gap_0004,progression_thresholds,What multi-session change proves meaningful progression?,trained natural adult males,"Comparable improvement in load, reps, effort, ROM, or execution is meaningful; exact noise bands are exercise-specific.",Reliability studies do not validate app-wide decision thresholds.,Single-session PRs versus multi-session trend rules,stu_0029|stu_0030|stu_0031,,Require 1-3 confirmations depending on skill and variability; never ignore technique/ROM.,Overreacting to noise creates oscillating loads and unnecessary deloads.,very_high,2026-07-11
gap_0005,deloading,Do scheduled deloads improve hypertrophy or retention?,trained natural adult males,"Deloads are reasonable when accumulated fatigue is evidenced, but fixed 4-8 week schedules are not established.",Almost no direct longitudinal hypertrophy trials compare deload strategies.,Scheduled versus reactive deloading,,,Use reactive multi-exercise regression and fatigue criteria; scheduled deload only by prior individual pattern.,Unnecessary deloads reduce stimulus; missed fatigue can increase injury or dropout risk.,high,2026-07-11
gap_0006,maintenance_volume,What minimum volume maintains muscle in trained young men during a cut?,trained natural adult males in deficit,Substantially reduced volume may maintain muscle if intensity/effort and protein remain adequate.,Key maintenance study included untrained young/older adults; deficit-specific trained trials test only limited contrasts.,One-ninth dose versus moderate-volume retention,stu_0020|stu_0027|stu_0028,,Start at 25-50% of prior productive volume only when maintenance is the goal; increase if performance or size trends decline.,Too-low defaults may lose tissue; too-high defaults waste recovery.,very_high,2026-07-11
gap_0007,surplus_size,What surplus maximizes muscle-to-fat gain ratio?,natural intermediate and advanced males,Small surpluses are prudent; larger gain rates predict more fat but the optimal energy surplus is unknown.,Few controlled overfeeding trials in trained males and tissue measurement error is large.,10-20% surplus recommendations versus minimal-surplus approaches,stu_0022|stu_0036,,Use status-specific weight-gain rate and adjust from 2-3 week trends.,Large surpluses can cause unnecessary fat gain; no surplus may limit gain in some males.,very_high,2026-07-11
gap_0008,recomposition_probability,Can an app estimate an individual's recomposition probability?,natural adult males,"Training age, detraining, adiposity, protein, stimulus quality, and deficit size shift probability, but cannot yield a validated percentage.",No validated male-specific prediction model.,Broad possibility claims versus strict novice-only claims,stu_0021|stu_0023,,"Return qualitative high/moderate/low likelihood with uncertainty, never a precise probability.",False promises can distort calorie and training choices.,high,2026-07-11
gap_0009,exercise_specific_hypertrophy,Which named exercise is best for each subdivision?,trained natural adult males,"Movement mechanics and limited regional hypertrophy trials support options, not universal rankings.",Few head-to-head longitudinal studies; individual anatomy and execution matter.,EMG-based rankings versus longitudinal outcome evidence,stu_0009|stu_0010|stu_0011|stu_0012,,"Choose 1-3 complementary, pain-free exercises and judge by target limitation and progression.",EMG-based certainty can select uncomfortable or poorly progressive exercises.,high,2026-07-11
gap_0010,sleep,What sleep dose changes hypertrophy in trained males?,trained natural adult males,"Adequate sleep is prudent for performance and health, but a precise hypertrophy threshold is not established.",Mostly acute sleep-loss or observational evidence; few longitudinal resistance-training trials.,Seven-hour threshold versus individual sleep need,,,"Flag repeated sleep below 7 hours as a recovery risk, not proof of impaired hypertrophy.",Treating a heuristic as causation can misclassify training response.,high,2026-07-11
gap_0011,older_males,How should volume and effort differ in older trained males?,older natural males,"Older males can hypertrophy, but may need more conservative fatigue and joint-stress management.",Evidence often involves untrained or clinical older adults.,Same programming versus age-adjusted recovery defaults,stu_0027,,"Use lower-end starting volume, 1-4 RIR, and gradual progression while monitoring function and pain.",Overgeneralizing young-male data may impair adherence or recovery.,high,2026-07-11
gap_0012,enhanced_males,How should recommendations differ for enhanced males?,enhanced adult males,"No combined recommendation is justified; pharmacology changes recovery, gain rate, risks, and clinical needs.",Ethical and methodological limitations; substance/dose heterogeneity.,Coaching anecdotes versus clinical evidence,,,Keep enhanced status separate and return insufficient_evidence for dose optimization.,Combining populations can dangerously inflate natural-male expectations.,very_high,2026-07-11
gap_0013,direct_male_meta_data,How many male participants support each mixed-sex meta-analysis?,adult males,"Male applicability can be strong without a sex interaction, but exact pooled male counts are often not reported in abstracts.",Source papers vary in sex reporting and some reviews do not aggregate males separately.,Male-dominant inference versus male-specific effect claim,stu_0001|stu_0004|stu_0016,,Store null rather than invent a count; downgrade applicability unless male results are separable.,Invented counts undermine traceability.,high,2026-07-11
gap_0014,body_fat_categories,What male body-fat cutoffs should drive bulk/cut decisions?,natural adult males,"Body-fat context matters, but universal cutoff-based phase decisions are not validated.",Field body-fat estimates are noisy and health/risk varies continuously.,Fixed percentages versus waist/health/performance context,stu_0022|stu_0023,,"Use broad contexts plus waist, health, preferences, and trajectory; never a single cutoff.",Measurement error can trigger inappropriate dieting or surplus.,high,2026-07-11
gap_0015,acute_mechanisms,"Can EMG, hormones, soreness, or acute MPS rank programs?",adult males,These measures may explain mechanisms but cannot by themselves prove superior long-term hypertrophy.,Acute responses do not map reliably to chronic growth magnitude.,Mechanistic plausibility versus longitudinal outcomes,,,Do not create hypertrophy rankings from acute markers alone.,Misapplication can promote ineffective or harmful programming.,high,2026-07-11
