muscle_group_id,muscle_group,muscle_subdivision,programming_family_id,anatomical_function,effective_exercises,minimum_effective_weekly_sets,typical_effective_weekly_sets_low,typical_effective_weekly_sets_high,higher_volume_range_low,higher_volume_range_high,likely_diminishing_returns_threshold,recommended_sets_per_session_low,recommended_sets_per_session_high,recommended_frequency_low,recommended_frequency_high,recommended_rep_range_low,recommended_rep_range_high,recommended_rir_low,recommended_rir_high,recommended_rest_seconds_low,recommended_rest_seconds_high,lengthened_position_considerations,indirect_set_contribution,recovery_considerations,cutting_adjustment,recomp_adjustment,maintenance_adjustment,bulking_adjustment,maintenance_volume_estimate,training_status,evidence_strength,confidence_rating,supporting_study_ids,notes
mg_chest_sternal,chest,sternal_pectoralis_major,chest,Horizontal adduction and shoulder flexion,ex_barbell_bench_press|ex_cambered_barbell_bench_press|ex_dumbbell_bench_press|ex_machine_chest_press|ex_cable_fly,6,10,16,17,22,20,2,8,1,3,5,20,0,4,90,240,Include at least one pain-free exercise that challenges the muscle at a relatively long length when practical; evidence is muscle-specific and does not justify painful ROM.,Pressing contributes 1.0; close-grip or overhead pressing usually 0-0.5,"Adjust from the starting range using standardized performance, soreness that affects training, joint tolerance, sleep, and session quality rather than soreness alone.",Begin by retaining recent productive volume; reduce low-value sets 10-30% only if recovery or performance repeatedly deteriorates.,Use maintenance-to-moderate productive volume and prioritize repeatable progression.,Operational estimate: approximately 25-50% of recent productive volume with retained effort/load exposure.,"Add sets only after calories, technique, exercise selection, and recovery are adequate and performance has plateaued.",4,intermediate,low,low,stu_0001|stu_0002|stu_0003|stu_0025|stu_0027,"Set numbers are conservative operational starting ranges inferred from general dose-response evidence, not validated muscle-specific biological thresholds. Count hard working sets near the target RIR; exclude warm-ups."
mg_chest_clavicular,chest,clavicular_pectoralis_major,chest,Shoulder flexion and horizontal adduction,ex_incline_dumbbell_press|ex_incline_machine_press|ex_low_to_high_cable_fly,4,8,14,15,20,18,2,7,1,3,6,20,0,4,90,240,Include at least one pain-free exercise that challenges the muscle at a relatively long length when practical; evidence is muscle-specific and does not justify painful ROM.,Flat pressing 0.5; overhead pressing 0-0.25,"Adjust from the starting range using standardized performance, soreness that affects training, joint tolerance, sleep, and session quality rather than soreness alone.",Begin by retaining recent productive volume; reduce low-value sets 10-30% only if recovery or performance repeatedly deteriorates.,Use maintenance-to-moderate productive volume and prioritize repeatable progression.,Operational estimate: approximately 25-50% of recent productive volume with retained effort/load exposure.,"Add sets only after calories, technique, exercise selection, and recovery are adequate and performance has plateaued.",3,intermediate,low,low,stu_0001|stu_0002|stu_0003|stu_0025|stu_0027,"Set numbers are conservative operational starting ranges inferred from general dose-response evidence, not validated muscle-specific biological thresholds. Count hard working sets near the target RIR; exclude warm-ups."
mg_upper_back,upper_back,rhomboids_and_mid_trapezius,upper_back,Scapular retraction and control,ex_chest_supported_row|ex_seated_cable_row|ex_reverse_pec_deck,6,10,18,18,24,22,2,8,1,4,6,20,0,4,90,240,Include at least one pain-free exercise that challenges the muscle at a relatively long length when practical; evidence is muscle-specific and does not justify painful ROM.,Rows 1.0; vertical pulls 0.25-0.5,"Adjust from the starting range using standardized performance, soreness that affects training, joint tolerance, sleep, and session quality rather than soreness alone.",Begin by retaining recent productive volume; reduce low-value sets 10-30% only if recovery or performance repeatedly deteriorates.,Use maintenance-to-moderate productive volume and prioritize repeatable progression.,Operational estimate: approximately 25-50% of recent productive volume with retained effort/load exposure.,"Add sets only after calories, technique, exercise selection, and recovery are adequate and performance has plateaued.",4,intermediate,low,low,stu_0001|stu_0002|stu_0003|stu_0025|stu_0027,"Set numbers are conservative operational starting ranges inferred from general dose-response evidence, not validated muscle-specific biological thresholds. Count hard working sets near the target RIR; exclude warm-ups."
mg_lats,lats,latissimus_dorsi,lats,Shoulder extension and adduction,ex_pull_up|ex_lat_pulldown|ex_one_arm_cable_pulldown|ex_dumbbell_row,6,10,18,18,24,22,2,8,1,4,6,20,0,4,90,240,Include at least one pain-free exercise that challenges the muscle at a relatively long length when practical; evidence is muscle-specific and does not justify painful ROM.,Vertical pulls and shoulder-extension rows 1.0; other rows 0.5,"Adjust from the starting range using standardized performance, soreness that affects training, joint tolerance, sleep, and session quality rather than soreness alone.",Begin by retaining recent productive volume; reduce low-value sets 10-30% only if recovery or performance repeatedly deteriorates.,Use maintenance-to-moderate productive volume and prioritize repeatable progression.,Operational estimate: approximately 25-50% of recent productive volume with retained effort/load exposure.,"Add sets only after calories, technique, exercise selection, and recovery are adequate and performance has plateaued.",4,intermediate,low,low,stu_0001|stu_0002|stu_0003|stu_0025|stu_0027,"Set numbers are conservative operational starting ranges inferred from general dose-response evidence, not validated muscle-specific biological thresholds. Count hard working sets near the target RIR; exclude warm-ups."
mg_traps_upper,traps,upper_trapezius,traps,Scapular elevation and upward rotation,ex_barbell_shrug|ex_dumbbell_shrug|ex_farmers_carry,4,6,14,14,20,18,2,6,1,3,6,20,0,4,90,240,Include at least one pain-free exercise that challenges the muscle at a relatively long length when practical; evidence is muscle-specific and does not justify painful ROM.,Loaded carries and deadlifts 0.25-0.5,"Adjust from the starting range using standardized performance, soreness that affects training, joint tolerance, sleep, and session quality rather than soreness alone.",Begin by retaining recent productive volume; reduce low-value sets 10-30% only if recovery or performance repeatedly deteriorates.,Use maintenance-to-moderate productive volume and prioritize repeatable progression.,Operational estimate: approximately 25-50% of recent productive volume with retained effort/load exposure.,"Add sets only after calories, technique, exercise selection, and recovery are adequate and performance has plateaued.",2,intermediate,low,low,stu_0001|stu_0002|stu_0003|stu_0025|stu_0027,"Set numbers are conservative operational starting ranges inferred from general dose-response evidence, not validated muscle-specific biological thresholds. Count hard working sets near the target RIR; exclude warm-ups."
mg_front_delts,front_delts,anterior_deltoid,front_delts,Shoulder flexion and horizontal adduction,ex_overhead_press|ex_machine_shoulder_press|ex_incline_dumbbell_press,2,4,10,10,16,14,2,6,1,3,6,20,0,4,90,240,Include at least one pain-free exercise that challenges the muscle at a relatively long length when practical; evidence is muscle-specific and does not justify painful ROM.,Horizontal pressing 0.25-0.5; overhead pressing 1.0,"Adjust from the starting range using standardized performance, soreness that affects training, joint tolerance, sleep, and session quality rather than soreness alone.",Begin by retaining recent productive volume; reduce low-value sets 10-30% only if recovery or performance repeatedly deteriorates.,Use maintenance-to-moderate productive volume and prioritize repeatable progression.,Operational estimate: approximately 25-50% of recent productive volume with retained effort/load exposure.,"Add sets only after calories, technique, exercise selection, and recovery are adequate and performance has plateaued.",2,intermediate,low,low,stu_0001|stu_0002|stu_0003|stu_0025|stu_0027,"Set numbers are conservative operational starting ranges inferred from general dose-response evidence, not validated muscle-specific biological thresholds. Count hard working sets near the target RIR; exclude warm-ups."
mg_side_delts,side_delts,middle_deltoid,side_delts,Shoulder abduction,ex_cable_lateral_raise|ex_dumbbell_lateral_raise|ex_machine_lateral_raise,6,10,20,20,26,24,2,8,2,5,10,30,0,3,60,180,Include at least one pain-free exercise that challenges the muscle at a relatively long length when practical; evidence is muscle-specific and does not justify painful ROM.,Overhead pressing 0.25-0.5,"Adjust from the starting range using standardized performance, soreness that affects training, joint tolerance, sleep, and session quality rather than soreness alone.",Begin by retaining recent productive volume; reduce low-value sets 10-30% only if recovery or performance repeatedly deteriorates.,Use maintenance-to-moderate productive volume and prioritize repeatable progression.,Operational estimate: approximately 25-50% of recent productive volume with retained effort/load exposure.,"Add sets only after calories, technique, exercise selection, and recovery are adequate and performance has plateaued.",4,intermediate,low,low,stu_0001|stu_0002|stu_0003|stu_0025|stu_0027,"Set numbers are conservative operational starting ranges inferred from general dose-response evidence, not validated muscle-specific biological thresholds. Count hard working sets near the target RIR; exclude warm-ups."
mg_rear_delts,rear_delts,posterior_deltoid,rear_delts,Shoulder horizontal abduction and extension,ex_reverse_pec_deck|ex_cable_rear_delt_fly|ex_chest_supported_row,4,8,18,18,24,22,2,8,2,5,10,25,0,3,60,180,Include at least one pain-free exercise that challenges the muscle at a relatively long length when practical; evidence is muscle-specific and does not justify painful ROM.,Rows 0.25-0.5 depending on elbow path,"Adjust from the starting range using standardized performance, soreness that affects training, joint tolerance, sleep, and session quality rather than soreness alone.",Begin by retaining recent productive volume; reduce low-value sets 10-30% only if recovery or performance repeatedly deteriorates.,Use maintenance-to-moderate productive volume and prioritize repeatable progression.,Operational estimate: approximately 25-50% of recent productive volume with retained effort/load exposure.,"Add sets only after calories, technique, exercise selection, and recovery are adequate and performance has plateaued.",3,intermediate,low,low,stu_0001|stu_0002|stu_0003|stu_0025|stu_0027,"Set numbers are conservative operational starting ranges inferred from general dose-response evidence, not validated muscle-specific biological thresholds. Count hard working sets near the target RIR; exclude warm-ups."
mg_biceps,biceps,biceps_brachii,biceps,Elbow flexion and forearm supination,ex_incline_dumbbell_curl|ex_preacher_curl|ex_cable_curl|ex_chin_up,4,8,16,16,22,20,2,7,1,4,6,25,0,3,60,180,Include at least one pain-free exercise that challenges the muscle at a relatively long length when practical; evidence is muscle-specific and does not justify painful ROM.,Supinated pulls 0.5; neutral/pronated pulls 0.25,"Adjust from the starting range using standardized performance, soreness that affects training, joint tolerance, sleep, and session quality rather than soreness alone.",Begin by retaining recent productive volume; reduce low-value sets 10-30% only if recovery or performance repeatedly deteriorates.,Use maintenance-to-moderate productive volume and prioritize repeatable progression.,Operational estimate: approximately 25-50% of recent productive volume with retained effort/load exposure.,"Add sets only after calories, technique, exercise selection, and recovery are adequate and performance has plateaued.",3,intermediate,low,low,stu_0001|stu_0002|stu_0003|stu_0025|stu_0027,"Set numbers are conservative operational starting ranges inferred from general dose-response evidence, not validated muscle-specific biological thresholds. Count hard working sets near the target RIR; exclude warm-ups."
mg_triceps,triceps,triceps_brachii,triceps,Elbow extension; long head also extends shoulder,ex_cable_pushdown|ex_overhead_cable_extension|ex_close_grip_bench_press,4,8,16,16,22,20,2,7,1,4,6,25,0,3,60,180,Include at least one pain-free exercise that challenges the muscle at a relatively long length when practical; evidence is muscle-specific and does not justify painful ROM.,Presses 0.5; direct extensions 1.0,"Adjust from the starting range using standardized performance, soreness that affects training, joint tolerance, sleep, and session quality rather than soreness alone.",Begin by retaining recent productive volume; reduce low-value sets 10-30% only if recovery or performance repeatedly deteriorates.,Use maintenance-to-moderate productive volume and prioritize repeatable progression.,Operational estimate: approximately 25-50% of recent productive volume with retained effort/load exposure.,"Add sets only after calories, technique, exercise selection, and recovery are adequate and performance has plateaued.",3,intermediate,low,low,stu_0001|stu_0002|stu_0003|stu_0025|stu_0027,"Set numbers are conservative operational starting ranges inferred from general dose-response evidence, not validated muscle-specific biological thresholds. Count hard working sets near the target RIR; exclude warm-ups."
