exercise_muscle_map_id,exercise_id,muscle_group_id,programming_family_id,relationship_type,loading_role,range_of_motion_role,fractional_set_credit,local_fatigue_weight,evidence_basis,evidence_notes,supporting_study_ids,confidence_rating,review_status,taxonomy_version,last_reviewed_date
emm_0001,ex_barbell_bench_press,mg_chest_sternal,chest,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0002,ex_barbell_bench_press,mg_triceps,triceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0003,ex_barbell_bench_press,mg_front_delts,front_delts,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0004,ex_cambered_barbell_bench_press,mg_chest_sternal,chest,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0005,ex_cambered_barbell_bench_press,mg_triceps,triceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0006,ex_cambered_barbell_bench_press,mg_front_delts,front_delts,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0007,ex_dumbbell_bench_press,mg_chest_sternal,chest,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0008,ex_dumbbell_bench_press,mg_triceps,triceps,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0009,ex_dumbbell_bench_press,mg_front_delts,front_delts,meaningful_fractional_load,dynamic,meaningful,0.5,0.5,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
emm_0010,ex_incline_dumbbell_press,mg_chest_clavicular,chest,direct_load,dynamic,meaningful,1,1,anatomy_biomechanics_and_exercise_family_inference,"Set credit is an interpretable programming model, not a scientifically proven physiological constant.",stu_0001|stu_0009|stu_0010|stu_0011,moderate,reviewed,2.1.0,2026-07-12
