conclusion_id,topic,research_question,male_population,training_status,nutrition_context,conclusion,recommended_lower_bound,recommended_upper_bound,recommended_unit,practical_range_text,supporting_study_ids,conflicting_study_ids,direct_or_indirect_evidence,evidence_strength,confidence_rating,key_limitations,application_rule,exceptions,last_reviewed_date
con_0001,loading,What repetition ranges can produce hypertrophy?,healthy adult natural males,all,all,A broad loading spectrum can produce hypertrophy when sets are sufficiently effortful; moderate loads are usually the most time-efficient default.,5,30,repetitions,Approximately 5-30 reps; 6-15 is the practical default for many exercises,stu_0004|stu_0039,,mixed,high,high,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,A broad loading spectrum can produce hypertrophy when sets are sufficiently effortful; moderate loads are usually the most time-efficient default.,"Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0002,loading,How should effort change with load?,healthy adult natural males,all,all,"As loads become lighter and rep targets rise, sets generally need to finish closer to task failure to recruit and fatigue high-threshold motor units.",0,3,rir,Heavy/moderate: often 1-4 RIR; light/high-rep: often 0-2 RIR,stu_0005|stu_0006,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"As loads become lighter and rep targets rise, sets generally need to finish closer to task failure to recruit and fatigue high-threshold motor units.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0003,failure,Is momentary failure required?,healthy adult natural males,all,all,Momentary muscular failure is not required for hypertrophy and can impose extra fatigue; it is more defensible selectively on stable isolation work than routinely on high-skill compounds.,0,4,rir,0-4 rir,stu_0005|stu_0006,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,Momentary muscular failure is not required for hypertrophy and can impose extra fatigue; it is more defensible selectively on stable isolation work than routinely on high-skill compounds.,"Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0004,volume,How does weekly set volume affect hypertrophy?,healthy adult males eligible for resistance training,all,all,"Hypertrophy generally increases with weekly set volume, but marginal returns diminish and individual recovery constrains useful dose.",4,20,fractional_hard_sets_per_muscle_per_week,"Start near 6-10 fractional hard sets; many trained males use roughly 10-20, adjusted by response",stu_0001|stu_0002|stu_0025,,mixed,high,moderate,"The numeric bands are operational starting ranges, not established per-muscle thresholds.","Hypertrophy generally increases with weekly set volume, but marginal returns diminish and individual recovery constrains useful dose.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0005,volume,How should indirect sets be counted?,healthy adult natural males,all,all,Fractional counting is more defensible than either ignoring all indirect work or crediting every indirect set as a full direct set.,0.5,0.5,fractional_set_credit_default,Default 0.5 for a clearly loaded secondary mover; use 0-1 when exercise-specific evidence or technique warrants,stu_0001,,expert_inference,low,low,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,Fractional counting is more defensible than either ignoring all indirect work or crediting every indirect set as a full direct set.,"Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0006,frequency,How often should a muscle be trained?,healthy adult natural males,all,all,"Frequency is mainly a way to distribute weekly volume and preserve set quality; when volume is equated, hypertrophy differences are small.",1,3,sessions_per_muscle_per_week,1-3 sessions per muscle weekly; 2 is a convenient default,stu_0001|stu_0003,,mixed,high,high,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Frequency is mainly a way to distribute weekly volume and preserve set quality; when volume is equated, hypertrophy differences are small.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0007,session_volume,How many hard sets should be performed per muscle in one session?,trained adult natural males,all,all,"Spread large weekly volumes across sessions when per-session set quality, repetitions, or target-muscle limitation deteriorates.",2,8,fractional_hard_sets_per_muscle_per_session,2-8 fractional_hard_sets_per_muscle_per_session,stu_0001|stu_0003,,expert_inference,low,low,No validated universal per-session hypertrophy cap exists.,"Spread large weekly volumes across sessions when per-session set quality, repetitions, or target-muscle limitation deteriorates.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0008,rest,How long should rest intervals be?,healthy adult natural males,all,all,"Rest long enough to preserve intended repetitions, load, range of motion, and target-muscle performance; compounds usually need longer rests than isolations.",60,300,seconds,About 2-5 min for demanding compounds and 1-3 min for stable isolations,stu_0007|stu_0026|stu_0038,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Rest long enough to preserve intended repetitions, load, range of motion, and target-muscle performance; compounds usually need longer rests than isolations.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0009,tempo,What repetition duration supports hypertrophy?,healthy adult natural males,all,all,Controlled repetitions across a broad range of durations can support hypertrophy; intentionally very slow repetitions are not superior.,0.5,8,seconds_per_repetition,0.5-8 seconds_per_repetition,stu_0008,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,Controlled repetitions across a broad range of durations can support hypertrophy; intentionally very slow repetitions are not superior.,"Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
con_0010,range_of_motion,Should full range of motion be the default?,healthy adult natural males,all,all,"Use the largest pain-free, controlled range that maintains the intended joint path and target-muscle loading; full ROM is a strong default, not an inviolable rule.",,,,No defensible universal numeric range,stu_0011|stu_0012|stu_0013,,mixed,moderate,moderate,Most syntheses combine sexes and training statuses; exercise- and muscle-specific data are sparse.,"Use the largest pain-free, controlled range that maintains the intended joint path and target-muscle loading; full ROM is a strong default, not an inviolable rule.","Pain, technique failure, medical contraindications, or recovery failure override the default.",2026-07-12
