summary_id,topic,applicable_male_population,practical_recommendation,evidence_strength,confidence_rating,important_exception_or_limitation,supporting_study_ids,last_reviewed_date
sum_0001,hypertrophy_rep_ranges,healthy adult natural males,Use roughly 5-30 reps for hypertrophy when effort and technique are appropriate; default many compound lifts to 5-12 and stable isolations to 8-25.,high,high,"Very light loads need closer proximity to failure; pain, cardio, grip, or balance can make a nominal range unproductive.",stu_0004|stu_0005|stu_0039,2026-07-12
sum_0002,weekly_volume,resistance-trained natural males,"Start near 6-10 fractional hard sets per muscle weekly and adjust; many trained males may use 10-20, but returns diminish and muscle-specific thresholds are not established.",high,moderate,"Ranges are operational and depend on effort, exercise, indirect work, session distribution, calories, sleep, and individual response.",stu_0001|stu_0002|stu_0025,2026-07-12
sum_0003,frequency,healthy adult natural males,"Choose 1-3 weekly exposures per muscle to distribute volume; twice weekly is a convenient default, not a hypertrophy requirement.",high,high,Very high per-session volume may justify higher frequency; low-volume programs can work at once weekly.,stu_0001|stu_0003,2026-07-12
sum_0004,proximity_to_failure,healthy adult natural males,"Keep most productive sets around 0-4 RIR, generally closer for light-load/high-rep work and farther for high-skill compounds.",moderate,moderate,RIR reporting is imprecise and failure is not required; the exact optimal RIR is unresolved.,stu_0005|stu_0006|stu_0030,2026-07-12
sum_0005,rest_intervals,healthy adult natural males,Rest long enough to preserve output: often 2-5 minutes for demanding compounds and 1-3 minutes for stable isolations.,moderate,moderate,Hypertrophy differences beyond about 90 seconds are small and uncertain; time constraints and supersets change the tradeoff.,stu_0007|stu_0026|stu_0038,2026-07-12
sum_0006,progression,healthy adult natural males,"Count load, reps, lower RPE/higher RIR, better ROM, and better execution as progression only under comparable conditions and multi-session confirmation.",low,moderate,Deterministic thresholds are operational inferences; no universal plateau or regression cut point is validated.,stu_0029|stu_0030|stu_0031,2026-07-12
sum_0007,exercise_selection,healthy adult natural males,"Choose machines or free weights by target-muscle loading, comfort, skill, stability, and progression resolution; neither is inherently superior for hypertrophy.",high,high,Strength transfer remains modality- and task-specific.,stu_0009|stu_0010,2026-07-12
sum_0008,range_of_motion,healthy adult natural males,Use the largest pain-free controlled ROM and include long-muscle-length loading where practical.,moderate,moderate,Long-length advantages are small/heterogeneous and muscle-specific; shortened partials can still be useful.,stu_0011|stu_0012|stu_0013,2026-07-12
sum_0009,protein,healthy adult natural males,Target about 1.6-2.2 g/kg/day; in lean deficits consider about 1.8-2.4 g/kg body weight or 2.3-3.1 g/kg fat-free mass.,high,high,Higher intake is not automatically better and medical protein restrictions require clinician guidance.,stu_0016|stu_0017|stu_0018,2026-07-12
sum_0010,dieting,natural males performing resistance training,Use a moderate deficit and slower loss when leaner or more advanced; preserve load exposure and reduce only low-value volume when recovery deteriorates.,high,moderate,"The approximately 500 kcal/day inflection is an average meta-regression estimate, not a universal safe limit.",stu_0019|stu_0020|stu_0021,2026-07-12
sum_0011,recomposition,natural adult males,"Recomposition is most plausible in untrained, detrained, novice, higher-body-fat, or previously under-proteined males; advanced lean males should expect little.",low,moderate,Short-term DXA lean-mass changes include water/glycogen and do not equal contractile tissue.,stu_0021|stu_0023,2026-07-12
sum_0012,bulking,natural adult males,"Use the smallest surplus that supports a credible gain trend: roughly 0.25-0.5% body weight/week for novices, 0.15-0.3% for intermediates, and 0.1-0.25% for advanced males.",low,low,These are practical review-based rates; trials do not establish an optimal surplus or universal muscle-to-fat ratio.,stu_0022|stu_0036,2026-07-12
sum_0013,maintenance,previously trained natural males,A large volume reduction can often maintain muscle if meaningful load/effort exposure remains; start around 25-50% of recent productive volume and monitor.,low,low,Direct evidence in currently trained young males and during calorie restriction is sparse.,stu_0027|stu_0028,2026-07-12
sum_0014,advanced_methods,recreationally trained natural males,"Use drop sets, rest-pause, and similar methods mainly for time efficiency or preference, not because they are proven superior.",moderate,moderate,Method-specific evidence varies and fatigue can change set comparability.,stu_0014,2026-07-12
