exercise_id,exercise_name,exercise_aliases,movement_pattern,equipment,primary_muscles,secondary_muscles,stabilizing_muscles,muscle_subdivisions_emphasized,stability_demand,skill_requirement,systemic_fatigue_cost,local_fatigue_cost,joint_stress_considerations,recommended_rep_range_low,recommended_rep_range_high,acceptable_rep_range_low,acceptable_rep_range_high,recommended_sets_per_session_low,recommended_sets_per_session_high,weekly_set_contribution,recommended_rir_low,recommended_rir_high,recommended_rest_seconds_low,recommended_rest_seconds_high,preferred_progression_model,load_increase_criteria,rep_increase_criteria,set_increase_criteria,regression_criteria,deload_criteria,technique_quality_criteria,range_of_motion_criteria,primary_progression_metric,secondary_progression_metrics,normal_performance_variability,stall_definition,substitution_triggers,suggested_substitutions,top_set_backoff_suitability,recommended_load_increment,recommended_evaluation_window_sessions,cutting_adjustment,bulking_adjustment,direct_exercise_evidence,evidence_quality,confidence_rating,supporting_study_ids,notes
ex_barbell_bench_press,Barbell Bench Press,bench press,horizontal_push,barbell_and_bench,mg_chest_sternal,mg_triceps|mg_front_delts,trunk_and_joint_specific_stabilizers,mg_chest_sternal,high,high,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",5,10,3,15,2,5,1.0 to mg_chest_sternal; 0.5 default to clearly loaded secondary muscles,1,4,120,300,load_then_reps,All prescribed sets at 10 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,estimated_1rm_with_technique_gate,load|repetitions|rir|range_of_motion|technique_quality,Treat approximately 2-5% e1RM or one rep as possible session noise; use multiple sessions.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,moderate,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_cambered_barbell_bench_press,Cambered Barbell Bench Press,camber bar bench press|cambered bench press|cambered bar bench,horizontal_push,cambered_barbell_and_bench,mg_chest_sternal,mg_triceps|mg_front_delts,trunk_and_joint_specific_stabilizers,mg_chest_sternal,high,high,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",6,12,4,15,2,5,1.0 to mg_chest_sternal; 0.5 default to clearly loaded secondary muscles,1,4,150,300,double_progression,All prescribed sets at 12 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,estimated_1rm_with_technique_gate,load|repetitions|rir|range_of_motion|technique_quality,Treat approximately 2-5% e1RM or one rep as possible session noise; use multiple sessions.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,moderate,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_dumbbell_bench_press,Dumbbell Bench Press,db bench press,horizontal_push,dumbbells_and_bench,mg_chest_sternal,mg_triceps|mg_front_delts,trunk_and_joint_specific_stabilizers,mg_chest_sternal,moderate,moderate,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",6,12,5,20,2,5,1.0 to mg_chest_sternal; 0.5 default to clearly loaded secondary muscles,0,3,120,240,double_progression,All prescribed sets at 12 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_incline_dumbbell_press,Incline Dumbbell Press,incline db press,horizontal_push,dumbbells_and_incline_bench,mg_chest_clavicular,mg_triceps|mg_front_delts,trunk_and_joint_specific_stabilizers,mg_chest_clavicular,moderate,moderate,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",6,12,5,20,2,5,1.0 to mg_chest_clavicular; 0.5 default to clearly loaded secondary muscles,0,3,120,240,double_progression,All prescribed sets at 12 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_machine_chest_press,Machine Chest Press,selectorized chest press,horizontal_push,machine,mg_chest_sternal,mg_triceps|mg_front_delts,trunk_and_joint_specific_stabilizers,mg_chest_sternal,low,low,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",8,15,6,20,2,5,1.0 to mg_chest_sternal; 0.5 default to clearly loaded secondary muscles,0,3,90,210,dynamic_double_progression,All prescribed sets at 15 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_incline_machine_press,Incline Machine Press,machine incline press,horizontal_push,machine,mg_chest_clavicular,mg_triceps|mg_front_delts,trunk_and_joint_specific_stabilizers,mg_chest_clavicular,low,low,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",8,15,6,20,2,5,1.0 to mg_chest_clavicular; 0.5 default to clearly loaded secondary muscles,0,3,90,210,dynamic_double_progression,All prescribed sets at 15 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_cable_fly,Cable Fly,cable chest fly,horizontal_push,cable,mg_chest_sternal,,local_joint_stabilizers,mg_chest_sternal,low,low,,moderate,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",10,20,8,30,2,6,1.0 to mg_chest_sternal; 0.5 default to clearly loaded secondary muscles,0,3,60,150,rep_first,All prescribed sets at 20 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,usually_unnecessary_but_permissible,"smallest available increment, preferably <=5%",2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_low_to_high_cable_fly,Low-to-High Cable Fly,upper chest cable fly,horizontal_push,cable,mg_chest_clavicular,mg_front_delts,local_joint_stabilizers,mg_chest_clavicular,low,low,,moderate,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",10,20,8,30,2,6,1.0 to mg_chest_clavicular; 0.5 default to clearly loaded secondary muscles,0,3,60,150,rep_first,All prescribed sets at 20 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,usually_unnecessary_but_permissible,"smallest available increment, preferably <=5%",2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_overhead_press,Barbell Overhead Press,military press,vertical_push,barbell,mg_front_delts,mg_triceps|mg_traps_upper,trunk_and_joint_specific_stabilizers,mg_front_delts,high,high,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",5,10,3,15,2,5,1.0 to mg_front_delts; 0.5 default to clearly loaded secondary muscles,1,4,120,300,load_then_reps,All prescribed sets at 10 reps with target RIR and standardized execution for 2 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,estimated_1rm_with_technique_gate,load|repetitions|rir|range_of_motion|technique_quality,Treat approximately 2-5% e1RM or one rep as possible session noise; use multiple sessions.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,moderate,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_machine_shoulder_press,Machine Shoulder Press,selectorized shoulder press,vertical_push,machine,mg_front_delts,mg_triceps,trunk_and_joint_specific_stabilizers,mg_front_delts,moderate,moderate,,high,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",8,15,6,20,2,5,1.0 to mg_front_delts; 0.5 default to clearly loaded secondary muscles,0,3,90,210,dynamic_double_progression,All prescribed sets at 15 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,appropriate,1-5% or smallest practical increment,2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
ex_cable_lateral_raise,Cable Lateral Raise,one arm cable lateral raise,shoulder_abduction,cable,mg_side_delts,,local_joint_stabilizers,mg_side_delts,low,low,,moderate,"Use a pain-free joint path and individual setup; persistent joint pain is a substitution trigger, not a progression target.",12,25,10,35,2,6,1.0 to mg_side_delts; 0.5 default to clearly loaded secondary muscles,0,3,60,150,rep_first,All prescribed sets at 25 reps with target RIR and standardized execution for 1 session(s),Add one repetition to the lowest-performing eligible set while technique and target RIR remain valid.,"Add one weekly set only after at least two weeks without meaningful progression, recovery is acceptable, and current sets retain quality.",Comparable performance below recent median beyond expected noise for 2 sessions,"Two or more repeated regressions plus fatigue indicators, or widespread multi-exercise decline; do not deload from one noisy session.","Repeatable setup and joint path; no new compensatory momentum; target muscle remains limiting before pain, grip, cardio, or balance.",Use the largest pain-free controlled ROM that preserves the intended joint path; ROM must be comparable before load/reps count as progression.,repetitions_at_load_and_rir,load|repetitions|rir|range_of_motion|technique_quality,One repetition or one small machine increment may be noise; use the defined confirmation window.,"No improvement in reps, load, RIR, ROM, or execution across 3 comparable sessions after recovery checks",Persistent pain; target muscle not limiting; equipment increments too coarse; repeated technical breakdown; or no progress across a full mesocycle despite recovery and adherence.,Use another exercise in the same movement pattern targeting the same primary muscle with lower joint or stability cost.,usually_unnecessary_but_permissible,"smallest available increment, preferably <=5%",2,Retain load exposure and target RIR; accept slower progression and reduce low-value sets before reducing effort on all sets.,Do not force load jumps from calorie surplus alone; add volume only after performance and recovery support it.,false,movement_pattern_inference,low,stu_0004|stu_0005|stu_0007|stu_0009|stu_0010|stu_0011|stu_0030,Exercise prescription is inferred mainly from movement-pattern evidence and fatigue/measurement constraints; it is not proof that this exercise is uniquely hypertrophic.
